;lat;long;site_id;datum;max_value;date;aqi;site_name
0;33.48378;-112.14256;040130019;NAD83;0.031;2023-01-01;29.0;WEST PHOENIX
1;33.48378;-112.14256;040130019;NAD83;0.034;2023-01-02;31.0;WEST PHOENIX
2;33.48378;-112.14256;040130019;NAD83;0.033;2023-01-03;31.0;WEST PHOENIX
3;33.48378;-112.14256;040130019;NAD83;0.032;2023-01-04;30.0;WEST PHOENIX
4;33.48378;-112.14256;040130019;NAD83;0.016;2023-01-05;15.0;WEST PHOENIX
5;33.48378;-112.14256;040130019;NAD83;0.017;2023-01-06;16.0;WEST PHOENIX
6;33.48378;-112.14256;040130019;NAD83;0.029;2023-01-07;27.0;WEST PHOENIX
7;33.48378;-112.14256;040130019;NAD83;0.03;2023-01-08;28.0;WEST PHOENIX
8;33.48378;-112.14256;040130019;NAD83;0.021;2023-01-09;19.0;WEST PHOENIX
9;33.48378;-112.14256;040130019;NAD83;0.021;2023-01-10;19.0;WEST PHOENIX
10;33.48378;-112.14256;040130019;NAD83;0.036;2023-01-11;33.0;WEST PHOENIX
11;33.48378;-112.14256;040130019;NAD83;0.031;2023-01-12;29.0;WEST PHOENIX
12;33.48378;-112.14256;040130019;NAD83;0.031;2023-01-13;29.0;WEST PHOENIX
13;33.48378;-112.14256;040130019;NAD83;0.009;2023-01-14;8.0;WEST PHOENIX
14;33.48378;-112.14256;040130019;NAD83;0.019;2023-01-15;18.0;WEST PHOENIX
15;33.48378;-112.14256;040130019;NAD83;0.029;2023-01-16;27.0;WEST PHOENIX
16;33.48378;-112.14256;040130019;NAD83;0.04;2023-01-17;37.0;WEST PHOENIX
17;33.48378;-112.14256;040130019;NAD83;0.035;2023-01-18;32.0;WEST PHOENIX
18;33.48378;-112.14256;040130019;NAD83;0.03;2023-01-19;28.0;WEST PHOENIX
19;33.48378;-112.14256;040130019;NAD83;0.036;2023-01-20;33.0;WEST PHOENIX
20;33.48378;-112.14256;040130019;NAD83;0.03;2023-01-21;28.0;WEST PHOENIX
